Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
3;;Daniel Juncadella;Chris Lulham;Jules Gounon;;Mercedes-AMG GT3 EVO;1;3:59.429;2:16.765;236;1:06.759;162;35.905;160;
3;;Daniel Juncadella;Chris Lulham;Jules Gounon;;Mercedes-AMG GT3 EVO;2;2:19.591;40.014;255;1:04.000;163;35.577;158;
3;;Daniel Juncadella;Chris Lulham;Jules Gounon;;Mercedes-AMG GT3 EVO;3;2:19.218;40.036;256;1:03.741;164;35.441;158;
48;;Lucas Auer;Luca Stolz;Maro Engel;;Mercedes-AMG GT3 EVO;1;3:00.628;1:17.964;236;1:06.551;161;36.113;159;
48;;Lucas Auer;Luca Stolz;Maro Engel;;Mercedes-AMG GT3 EVO;2;2:19.600;39.841;256;1:04.230;163;35.529;157;
48;;Lucas Auer;Luca Stolz;Maro Engel;;Mercedes-AMG GT3 EVO;3;2:19.478;39.926;258;1:04.172;164;35.380;157;
50;;Lilou Wadoux;Arthur Leclerc;Sean Gelael;;Ferrari 296 GT3 EVO;1;2:20.810;34.895;237;1:07.151;162;38.764;159;
50;;Lilou Wadoux;Arthur Leclerc;Sean Gelael;;Ferrari 296 GT3 EVO;2;2:19.453;39.882;257;1:04.073;164;35.498;157;
50;;Lilou Wadoux;Arthur Leclerc;Sean Gelael;;Ferrari 296 GT3 EVO;3;2:19.159;39.907;259;1:03.742;166;35.510;157;
50;;Lilou Wadoux;Arthur Leclerc;Sean Gelael;;Ferrari 296 GT3 EVO;4;2:35.376;41.873;226;1:09.685;154;43.818;;
51;;Alessio Rovera;Tommaso Mosca;Nicklas Nielsen;;Ferrari 296 GT3 EVO;1;2:13.332;29.984;232;1:07.028;162;36.320;160;
51;;Alessio Rovera;Tommaso Mosca;Nicklas Nielsen;;Ferrari 296 GT3 EVO;2;2:18.971;39.784;256;1:03.749;163;35.438;159;
51;;Alessio Rovera;Tommaso Mosca;Nicklas Nielsen;;Ferrari 296 GT3 EVO;3;2:35.975;39.801;257;1:14.221;160;41.953;;
58;;Thomas Fleming;Louis Prette;Benjamin Goethe;;McLaren 720S GT3 EVO;1;3:42.678;1:52.791;170;1:11.220;161;38.667;161;
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
58;;Thomas Fleming;Louis Prette;Benjamin Goethe;;McLaren 720S GT3 EVO;2;2:19.298;40.099;254;1:03.746;164;35.453;158;
58;;Thomas Fleming;Louis Prette;Benjamin Goethe;;McLaren 720S GT3 EVO;3;2:19.179;40.014;257;1:03.755;164;35.410;158;
66;;Mark Kastelic;Ariel Levi;Sebastian Øgaard;Rocco Mazzola;Audi R8 LMS GT3 EVO II;1;3:21.107;1:36.808;237;1:06.468;163;37.831;162;
66;;Mark Kastelic;Ariel Levi;Sebastian Øgaard;Rocco Mazzola;Audi R8 LMS GT3 EVO II;2;2:19.377;39.516;259;1:04.336;163;35.525;160;
66;;Mark Kastelic;Ariel Levi;Sebastian Øgaard;Rocco Mazzola;Audi R8 LMS GT3 EVO II;3;2:19.272;39.493;261;1:04.328;164;35.451;160;
71;;Conrad Laursen;Malte Ebdrup;Simon Birch;Frederik Schandorff;Ferrari 296 GT3 EVO;1;3:35.719;1:51.904;238;1:06.988;163;36.827;161;
71;;Conrad Laursen;Malte Ebdrup;Simon Birch;Frederik Schandorff;Ferrari 296 GT3 EVO;2;2:19.257;39.797;258;1:04.007;165;35.453;159;
71;;Conrad Laursen;Malte Ebdrup;Simon Birch;Frederik Schandorff;Ferrari 296 GT3 EVO;3;2:19.267;39.837;260;1:04.020;165;35.410;159;
74;;Dustin Blattner;Ben Tuck;Mathys Jaubert;Dennis Marschall;Ferrari 296 GT3 EVO;1;2:16.589;33.648;233;1:06.170;164;36.771;161;
74;;Dustin Blattner;Ben Tuck;Mathys Jaubert;Dennis Marschall;Ferrari 296 GT3 EVO;1;2:19.669;39.809;256;1:04.230;163;35.630;159;
74;;Dustin Blattner;Ben Tuck;Mathys Jaubert;Dennis Marschall;Ferrari 296 GT3 EVO;2;2:19.359;39.807;259;1:04.026;165;35.526;158;
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
74;;Dustin Blattner;Ben Tuck;Mathys Jaubert;Dennis Marschall;Ferrari 296 GT3 EVO;3;2:19.307;39.863;259;1:04.054;166;35.390;159;
