TIME;RACE TIME;MESSAGE;
15:33:11.721;;;PIT EXIT CLOSES IN 2 MINUTES;
15:35:00.943;;;PIT EXIT IS CLOSED;
15:35:01.969;;;PIT EXIT IS CLOSED;
15:50:01.177;;;5 MINUTES TO START OF FORMATION LAP;
15:55:11.614;;;FORMATION LAP;
15:59:31.264;;;Green flag;
15:59:47.483;16.219;;Yellow flag at MSector 3;
16:00:03.047;31.783;;Yellow flag at MSector 4;
16:00:10.617;39.353;;Green flag at MSector 4;
16:00:11.151;39.887;;Yellow flag at MSector 4;
16:00:12.661;41.397;;START UNDER INVESTIGATION;
16:00:48.549;1:17.285;;Safety car deployed;
16:01:31.147;1:59.883;;INCIDENT TURN 1 NOTED;
16:02:50.370;3:19.106;;INCIDENT TURN 1 UNDER INVESTIGATION;
16:07:06.921;7:35.657;;car # 7 no transponder at pit finish, please check;
16:15:18.956;15:47.692;;PIT EXIT IS CLOSED;
16:17:01.910;17:30.646;;Safety Car in this Lap;
16:18:02.270;18:31.006;;Green flag;
16:20:39.108;21:07.844;;Yellow flag at MSector 3;
16:20:42.421;21:11.157;;Green flag at MSector 3;
16:21:21.816;21:50.552;;INCIDENT CARS 11-111 T8 NOTED;
16:21:35.237;22:03.973;;INCIDENT CARS 24-992 T2 NOTED;
16:23:57.736;24:26.472;;INCIDENT CARS 50-99 T2 NOTED;
16:24:09.659;24:38.395;;INCIDENT CARS 52-84 T2 NOTED;
16:25:09.132;25:37.868;;INCIDENT CARS 24-992 T2 UNDER INVESTIGATION;
16:26:04.098;26:32.834;;Yellow flag at MSector 3;
16:26:13.060;26:41.796;;CAR 992 - DRIVE THROUGH PENALTY PUSHING OTHER CAR;
16:26:13.489;26:42.225;;Green flag at MSector 3;
16:26:41.871;27:10.607;;INCIDENT CARS 71-99 T2 NOTED;
16:28:27.663;28:56.399;;INCIDENT CARS 11-111 T8 NO FURTHER INVESTIGATION;
16:31:14.576;31:43.312;;CAR 96 OVERTAKING OFF TRACK T5 UNDER INVESTIGATION;
16:32:09.021;32:37.757;;CAR 992 PITLANE SPEED UNDER INVESTIGATION;
16:33:43.355;34:12.091;;INCIDENT CARS 59-99 T2 NO FURTHER INVESTIGATION;
16:34:03.114;34:31.850;;INCIDENT CARS 52-84 T2 NO FURTHER INVESTIGATION;
16:34:40.560;35:09.296;;CAR 17 STOP&GO 3MN - CAUSING COLLISION;
16:36:19.540;36:48.276;;CARS 24-88 SHORT PITSTOP UNDER INVESTIGATION;
16:39:48.290;40:17.026;;CAR 56 NO TRANSPONDER NOTED;
16:44:14.315;44:43.051;;Yellow flag at MSector 3;
