Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
30;Matisse Lismont;16:02:21.526;2:50.262;Matisse Lismont;16:03:41.775;4:10.511;1:20.249;;1
89;Bashar Mardini;16:02:28.349;2:57.085;Bashar Mardini;16:03:54.285;4:23.021;1:25.936;;1
7;Mattia Drudi;16:03:13.240;3:41.976; ;;;;;1
32;Charles Weerts;16:06:26.509;6:55.245;Charles Weerts;16:07:47.545;8:16.281;1:21.036;;2
4;Harry George;16:06:52.733;7:21.469;Harry George;18:14:40.942;2:15:09.678;2:07:48.209;;2
56;Giacomo Petrobelli;16:07:02.344;7:31.080;Giacomo Petrobelli;16:08:25.063;8:53.799;1:22.719;;2
30;Matisse Lismont;16:07:13.232;7:41.968;Matisse Lismont;16:07:48.260;8:16.996;35.028;;2
89;Bashar Mardini;16:07:14.800;7:43.536;Bashar Mardini;16:08:15.903;8:44.639;1:01.103;;2
46;Valentino Rossi;16:09:42.899;10:11.635; ;;;;;3
52;Gilles Stadsbader;16:10:00.259;10:28.995;Gilles Stadsbader;16:11:25.228;11:53.964;1:24.969;;3
66;Ariel Levi;16:10:08.531;10:37.267;Ariel Levi;16:11:45.087;12:13.823;1:36.556;;3
111;James Kell;16:10:09.651;10:38.387;James Kell;16:11:41.070;12:09.806;1:31.419;;3
60;Rolf Ineichen;16:10:10.534;10:39.270;Rolf Ineichen;16:11:33.104;12:01.840;1:22.570;;3
42;Calan Williams;16:10:19.446;10:48.182;Calan Williams;16:11:40.012;12:08.748;1:20.566;;3
991;James Kellett;16:10:20.222;10:48.958;James Kellett;16:11:42.037;12:10.773;1:21.815;;3
998;Ugo De Wilde;16:10:23.410;10:52.146;Ugo De Wilde;16:11:46.665;12:15.401;1:23.255;;3
35;Ethan Ischer;16:10:24.748;10:53.484;Ethan Ischer;16:11:45.971;12:14.707;1:21.223;;3
32;Charles Weerts;16:10:31.918;11:00.654;Charles Weerts;16:11:06.206;11:34.942;34.288;;3
89;Bashar Mardini;16:10:33.509;11:02.245;Bashar Mardini;16:11:10.342;11:39.078;36.833;;3
71;Simon Birch;16:12:39.135;13:07.871;Simon Birch;16:14:00.121;14:28.857;1:20.986;;4
98;Augusto Farfus;16:12:39.817;13:08.553;Augusto Farfus;16:14:04.436;14:33.172;1:24.619;;4
34;Jamie Day;16:12:40.996;13:09.732;Jamie Day;16:14:02.543;14:31.279;1:21.547;;4
50;Sean Gelael;16:12:42.108;13:10.844;Sean Gelael;16:14:05.005;14:33.741;1:22.897;;4
96;Luca Engstler;16:12:46.877;13:15.613;Luca Engstler;16:14:07.574;14:36.310;1:20.697;;4
24;Mikkel Mac;16:12:47.904;13:16.640;Mikkel Mac;16:14:08.850;14:37.586;1:20.946;;4
45;Dylan Medler;16:12:55.409;13:24.145;Dylan Medler;16:14:17.124;14:45.860;1:21.715;;4
992;Bobby Thompson;16:12:56.416;13:25.152;Bobby Thompson;16:14:19.403;14:48.139;1:22.987;;4
54;Angus Whiteside;16:13:09.283;13:38.019;Angus Whiteside;16:14:31.669;15:00.405;1:22.386;;4
99;Lorenzo Ferrari;16:13:10.752;13:39.488;Lorenzo Ferrari;16:14:36.169;15:04.905;1:25.417;;4
30;Matisse Lismont;16:13:11.526;13:40.262;Matisse Lismont;16:13:46.367;14:15.103;34.841;;4
