Rank;Bib;ClassName;Driver1;Driver2;Driver3;Driver4;CarName;TeamName;LicenceHolderName;TotalTime;LapCount;GapTime;GapLap;BestLapAverageSpeed;BestLapTime;BestLapLapNumber;State
1;66;Silver Cup;Rocco Mazzola;Sebastian Øgaard;Ariel Levi;;Audi R8 LMS GT3 EVO II;Tresor Attempto Racing;Tresor Attempto Racing;3:01:03.675;79;;;194.30;1:47.306;18;
2;48;Pro Cup;Lucas Auer;Luca Stolz;Maro Engel;;Mercedes-AMG GT3 EVO;Mercedes-AMG Team MANN-FILTER;Winward Racing;3:01:04.458;79;0.783;0;195.90;1:46.445;69;
3;555;Silver Cup;Baptiste Moulin;Romain Andriolo;Lorens Lecertua;;McLaren 720S GT3 EVO;CSA Racing;CSA Racing;3:01:06.100;79;2.425;0;194.10;1:47.419;71;
4;2;Pro Cup;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;Boutsen VDS;Boutsen VDS;3:01:06.460;79;2.785;0;195.20;1:46.788;41;
5;98;Pro Cup;Augusto Farfus;Jake Dennis;Raffaele Marciello;;BMW M4 GT3 EVO;Rowe Racing;Motorsport Competence Group AG;3:01:07.233;79;3.558;0;194.10;1:47.410;22;
6;23;Silver Cup;Horatio Fitz-Simon;Maxwell Lynn;Ben Dörr;;McLaren 720S GT3 EVO;Team RJN;Team RJN;3:01:08.245;79;4.570;0;195.50;1:46.659;69;
7;32;Pro Cup;Kelvin van der Linde;Jordan Pepper;Charles Weerts;;BMW M4 GT3 EVO;Team WRT;Team WRT;3:01:08.888;79;5.213;0;195.00;1:46.938;67;
8;96;Pro Cup;Luca Engstler;Marco Mapelli;Patric Niederhauser;;Lamborghini Temerario GT3;Rutronik Racing;Rutronik Racing;3:01:09.800;79;6.125;0;194.50;1:47.197;57;
9;74;Bronze Cup;Dustin Blattner;Lorenzo Patrese;Dennis Marschall;;Ferrari 296 GT3 EVO;Kessel Racing;Kessel Racing;3:01:10.505;79;6.830;0;196.00;1:46.396;71;
10;56;Bronze Cup;Giacomo Petrobelli;Lorcan Hanafin;Jonathan Adam;;Aston Martin Vantage AMR GT3 EVO;Ecurie Ecosse Blackthorn;Ecurie Ecosse Blackthorn;3:01:12.186;79;8.511;0;194.70;1:47.060;65;
11;54;Silver Cup;Francesco Simonazzi;Angus Whiteside;Tanart Sathienthirakul;;Porsche 911 GT3 R EVO;Dinamic GT;Dinamic GT;3:01:12.983;79;9.308;0;194.20;1:47.361;65;
12;50;Pro Cup;Lilou Wadoux;Arthur Leclerc;Sean Gelael;;Ferrari 296 GT3 EVO;AF Corse;AF Corse;3:01:13.658;79;9.983;0;195.00;1:46.942;53;
13;42;Bronze Cup;Ahmad Al Harthy;Javier Sagrera;Calan Williams;;BMW M4 GT3 EVO;Oman Racing by Century Motorsport;Century Motorsport;3:01:14.254;79;10.579;0;194.00;1:47.475;22;
14;6;Silver Cup;Anthony Bartone;Cesar Gazeau;Aurelien Panis;;Mercedes-AMG GT3 EVO;GetSpeed Team Bartone Bros;GetSpeed;3:01:15.143;79;11.468;0;194.40;1:47.226;65;
15;71;Gold Cup;Frederik Schandorff;Malte Ebdrup;Simon Birch;;Ferrari 296 GT3 EVO;Selected Car Racing;AF Corse;3:01:16.380;79;12.705;0;194.10;1:47.422;19;
16;93;Bronze Cup;Jonathan Hui;Chris Froggatt;Eddie Cheever;;Porsche 911 GT3 R EVO;Ziggo Sport Tempesta Racing;Ziggo Sport Tempesta Racing;3:01:17.460;79;13.785;0;193.90;1:47.542;63;
17;991;Bronze Cup;Robert De Haan;Darren Leung;James Kellett;;BMW M4 GT3 EVO;Paradine Competition;Paradine Competition;3:01:17.768;79;14.093;0;194.50;1:47.213;15;
