Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;1;2:23.837;39.691;239;37.835;246;1:06.311;76;195
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;2;4:22.485;1:46.522;77;1:18.727;101;1:17.236;88;47
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;3;3:26.896;1:24.734;77;1:00.467;162;1:01.695;120;88
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;4;2:52.874;1:07.129;126;52.842;183;52.903;144;116
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;5;2:38.871;49.951;131;50.011;194;58.909;128;129
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;6;2:50.961;1:00.210;129;56.835;131;53.916;231;132
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;7;1:49.793;35.369;246;37.086;249;37.338;230;267
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;8;1:48.840;34.811;246;36.859;249;37.170;230;265
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;9;1:48.169;34.600;248;36.745;249;36.824;231;266
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;10;1:47.938;34.416;247;36.698;249;36.824;231;267
Bib;Class;Driver1;Driver2;Driver3;Driver4;Car;Lap;Time;Sector1Time;SpeedTrap1;Sector2Time;SpeedTrap2;Sector3Time;SpeedTrap3;TopSpeed
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;11;1:47.498;34.446;246;36.436;250;36.616;231;267
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;12;1:47.854;34.356;247;36.854;249;36.644;232;267
2;;Morris Schuring;Dorian Boccolacci;Alessio Picariello;;Porsche 911 GT3 R EVO;13;1:47.321;34.257;247;36.459;249;36.605;231;267
