Bib;Date & Time;Race time;TL at Turn;Message
96;31.5.2026  16:22:30.000;22:58.736;5;
9;31.5.2026  16:22:52.000;23:20.736;8;
66;31.5.2026  16:23:13.000;23:41.736;8;
96;31.5.2026  16:23:19.000;23:47.736;8;
56;31.5.2026  16:24:27.000;24:55.736;1;
30;31.5.2026  16:25:16.000;25:44.736;1;
177;31.5.2026  16:25:18.000;25:46.736;5;
56;31.5.2026  16:26:26.000;26:54.736;1;
74;31.5.2026  16:26:40.000;27:08.736;1;
35;31.5.2026  16:26:53.000;27:21.736;5;
99;31.5.2026  16:28:50.000;29:18.736;8;
99;31.5.2026  16:30:05.000;30:33.736;5;
84;31.5.2026  16:30:16.000;30:44.736;1;
5;31.5.2026  16:30:49.000;31:17.736;5;
34;31.5.2026  16:32:08.000;32:36.736;1;
88;31.5.2026  16:32:52.000;33:20.736;10;
914;31.5.2026  16:34:36.000;35:04.736;5;
35;31.5.2026  16:37:28.000;37:56.736;5;
63;31.5.2026  16:37:38.000;38:06.736;5;
914;31.5.2026  16:43:53.000;44:21.736;1;
60;31.5.2026  16:44:09.000;44:37.736;1;
914;31.5.2026  16:44:36.000;45:04.736;1;
177;31.5.2026  16:44:44.000;45:12.736;5;
111;31.5.2026  16:44:52.000;45:20.736;1;
32;31.5.2026  16:49:40.000;50:08.736;1;
32;31.5.2026  17:11:38.000;1:12:06.736;1;
60;31.5.2026  17:13:05.000;1:13:33.736;1;
74;31.5.2026  17:15:24.000;1:15:52.736;5;
44;31.5.2026  17:16:24.000;1:16:52.736;10;
2;31.5.2026  17:16:34.000;1:17:02.736;1;
45;31.5.2026  17:18:53.000;1:19:21.736;1;
24;31.5.2026  17:20:49.000;1:21:17.736;1;
21;31.5.2026  17:21:20.000;1:21:48.736;5;
914;31.5.2026  17:22:58.000;1:23:26.736;1;
111;31.5.2026  17:34:30.000;1:34:58.736;5;
97;31.5.2026  17:34:38.000;1:35:06.736;5;
54;31.5.2026  17:35:46.000;1:36:14.736;1;
5;31.5.2026  17:36:04.000;1:36:32.736;4;
111;31.5.2026  17:53:26.000;1:53:54.736;5;
84;31.5.2026  17:56:47.000;1:57:15.736;8;
992;31.5.2026  17:56:55.000;1:57:23.736;8;
98;31.5.2026  17:57:13.000;1:57:41.736;8;
992;31.5.2026  17:58:37.000;1:59:05.736;8;
42;31.5.2026  17:58:49.000;1:59:17.736;1;
98;31.5.2026  17:59:44.000;2:00:12.736;4;
98;31.5.2026  17:59:50.000;2:00:18.736;8;
98;31.5.2026  18:03:23.000;2:03:51.736;1;
45;31.5.2026  18:05:10.000;2:05:38.736;10;
42;31.5.2026  18:06:49.000;2:07:17.736;1;
74;31.5.2026  18:08:21.000;2:08:49.736;8;
74;31.5.2026  18:08:26.000;2:08:54.736;1;
25;31.5.2026  18:08:27.000;2:08:55.736;1;
42;31.5.2026  18:08:33.000;2:09:01.736;1;
12;31.5.2026  18:08:38.000;2:09:06.736;5;
30;31.5.2026  18:08:46.000;2:09:14.736;8;
42;31.5.2026  18:10:09.000;2:10:37.736;1;
71;31.5.2026  18:10:27.000;2:10:55.736;1;
71;31.5.2026  18:11:09.000;2:11:37.736;5;
12;31.5.2026  18:11:14.000;2:11:42.736;5;
71;31.5.2026  18:11:26.000;2:11:54.736;8;
914;31.5.2026  18:11:28.000;2:11:56.736;5;
93;31.5.2026  18:11:32.000;2:12:00.736;5;
71;31.5.2026  18:12:16.000;2:12:44.736;1;
89;31.5.2026  18:13:34.000;2:14:02.736;5;
992;31.5.2026  18:15:41.000;2:16:09.736;1;
44;31.5.2026  18:15:50.000;2:16:18.736;5;
12;31.5.2026  18:15:53.000;2:16:21.736;5;
60;31.5.2026  18:16:49.000;2:17:17.736;1;
11;31.5.2026  18:18:22.000;2:18:50.736;8;
54;31.5.2026  18:19:42.000;2:20:10.736;1;
56;31.5.2026  18:20:31.000;2:20:59.736;1;
6;31.5.2026  18:29:08.000;2:29:36.736;5;
44;31.5.2026  18:29:13.000;2:29:41.736;5;
992;31.5.2026  18:29:39.000;2:30:07.736;8;
991;31.5.2026  18:29:48.000;2:30:16.736;8;
992;31.5.2026  18:30:21.000;2:30:49.736;8;
30;31.5.2026  18:31:56.000;2:32:24.736;8;
56;31.5.2026  18:33:14.000;2:33:42.736;1;
12;31.5.2026  18:33:18.000;2:33:46.736;5;
222;31.5.2026  18:34:14.000;2:34:42.736;1;
992;31.5.2026  18:34:26.000;2:34:54.736;1;
50;31.5.2026  18:35:24.000;2:35:52.736;5;
32;31.5.2026  18:35:44.000;2:36:12.736;8;
58;31.5.2026  18:37:09.000;2:37:37.736;10;
992;31.5.2026  18:54:19.000;2:54:47.736;5;
71;31.5.2026  18:54:39.000;2:55:07.736;5;
84;31.5.2026  18:55:01.000;2:55:29.736;5;
