Pos,No.,Name,Class,Nationality,Total Time,Gap,Diff,Laps,Fastest Lap,Fast Lap No.,Fast Lap Avg. Speed,Pit Stops
1,37,Phantom Global Racing,GTWC Asia - PRO-AM,CHN,1:01:20.722,,,36,1:28.645,11,175.03,1
2,911,Absolute Racing,GTWC Asia - PRO-AM,HKG,1:01:36.611,15.889,15.889,36,1:29.289,13,173.77,1
3,15,Audi Sport Asia Team Phantom,GTWC Asia - PRO-AM,HKG,1:01:40.101,19.379,3.490,36,1:28.816,13,174.69,1
4,29,Absolute Racing,GTWC Asia - SILVER,HKG,1:01:52.304,31.582,12.203,36,1:29.624,34,173.12,1
5,89,TEAM KRC,GTWC Asia - PRO-AM,CHN,1:01:52.423,31.701,0.119,36,1:29.243,14,173.86,1
6,77,Craft-Bamboo Racing,GTWC Asia - SIL-AM,HKG,1:01:56.689,35.967,4.266,36,1:29.480,33,173.40,1
7,918,Absolute Racing,GTWC Asia - PRO-AM,HKG,1:01:56.704,35.982,0.015,36,1:29.039,10,174.26,1
8,96,Winhere Harmony Racing,GTWC Asia - SILVER,HKG,1:01:57.289,36.567,0.585,36,1:28.486,34,175.34,2
9,4,Origine Motorsport,GTWC Asia - PRO-AM,CHN,1:02:16.464,55.742,19.175,36,1:29.046,10,174.24,2
10,500,TEAM 5ZIGEN,GTWC Asia - SILVER,JPN,1:02:18.096,57.374,1.632,36,1:29.576,22,173.21,1
11,16,FAW Audi Sport Asia Team Phantom,GTWC Asia - SILVER,HKG,1:02:18.217,57.495,0.121,36,1:29.144,33,174.05,1
12,72,Winhere Harmony Racing,GTWC Asia - PRO-AM,HKG,1:02:20.921,1:00.199,2.704,36,1:29.098,10,174.14,1
13,13,33R Harmony Racing,GTWC Asia - SIL-AM,MYS,1:02:25.703,1:04.981,4.782,36,1:30.087,17,172.23,1
14,10,TEAM KRC,GTWC Asia - SIL-AM,CHN,1:02:29.770,1:09.048,4.067,36,1:29.482,13,173.39,2
15,18,Porsche Center Okazaki,GTWC Asia - PRO-AM,JPN,1:02:36.777,1:16.055,7.007,36,1:29.694,17,172.98,1
16,51,AMAC Motorsport,GTWC Asia - AM,AUS,1:02:43.095,1:22.373,6.318,36,1:30.218,29,171.98,1
17,5,PLUS with BMW M Team Studie,GTWC Asia - PRO-AM,JPN,1:03:21.938,2:01.216,38.843,36,1:29.911,17,172.57,1
18,22,Origine Motorsport,GTWC Asia - AM,CHN,1:01:25.055,1 Lap,1 Lap,35,1:30.204,34,172.01,2
19,8,Climax Racing,GTWC Asia - AM,CHN,1:01:38.258,1 Lap,13.203,35,1:30.675,14,171.11,2
20,25,Porsche Center Okazaki,GTWC Asia - SIL-AM,JPN,1:01:55.373,1 Lap,17.115,35,1:29.666,13,173.04,2
21,27,Climax Racing,GTWC Asia - SIL-AM,CHN,43:51.444,11 Laps,10 Laps,25,1:29.170,10,174.00,2
NC,50,Garage 75,GTWC Asia - SILVER,IDN,10:43.102,33 Laps,22 Laps,3,1:35.470,2,162.52,1
