pos,nr,driver_or_team,out_lap,time_out_lap,in_lap,time_in_lap,time_of_day,lapnumber,laptime,sector_1_time,sector_2_time,sector_3_time,speedTrap_1_Speed,speedTrap_2_Speed,speedTrap_3_Speed,speedTrap_4_Speed,class,session_time,driver_name
1,37,Phantom Global Racing,,,,,11:35:00.098,1,2:43.871,,1:05.284,56.380,,,,,GTWC Asia - PRO-AM,2:43.871,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:36:31.705,2,1:31.607,28.584,35.601,27.422,,,,202.62 km/h,GTWC Asia - PRO-AM,4:15.478,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:38:01.486,3,1:29.781,26.547,35.717,27.517,,,,221.76 km/h,GTWC Asia - PRO-AM,5:45.259,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:39:38.300,4,1:36.814,28.138,40.064,28.612,,,,222.22 km/h,GTWC Asia - PRO-AM,7:22.073,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:41:55.578,5,2:17.278,28.637,1:01.726,46.915,,,,186.52 km/h,GTWC Asia - PRO-AM,9:39.351,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:44:35.583,6,2:40.005,42.550,1:10.101,47.354,,,,150.20 km/h,GTWC Asia - PRO-AM,12:19.356,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:47:12.305,7,2:36.722,42.627,1:03.831,50.264,,,,131.70 km/h,GTWC Asia - PRO-AM,14:56.078,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:48:41.657,8,1:29.352,26.330,35.621,27.401,,,,220.85 km/h,GTWC Asia - PRO-AM,16:25.430,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:50:10.894,9,1:29.237,26.283,35.558,27.396,,,,222.22 km/h,GTWC Asia - PRO-AM,17:54.667,Loek HARTOG
1,37,Phantom Global Racing,,,,,11:51:39.769,10,1:28.875,26.221,35.312,27.342,,,,222.68 km/h,GTWC Asia - PRO-AM,19:23.542,Loek HARTOG
